goods_nomenclature_item_id,productline_suffix,referenced_class,title,indent
0806000000,80,Heading,sultanas,
0807000000,80,Heading,melons (fresh),
0808000000,80,Heading,apples (fresh),
0808000000,80,Heading,pears (fresh),
0808000000,80,Heading,quinces (fresh),
0809000000,80,Heading,apricots (fresh),
0809000000,80,Heading,bullace (fresh),
0809000000,80,Heading,cherries (fresh),
0809000000,80,Heading,mirabelles (fresh),
0809000000,80,Heading,nectarines (fresh),
0809000000,80,Heading,peaches (fresh),
0809000000,80,Heading,plums (fresh),
0810000000,80,Heading,"berries, fresh",
0810000000,80,Heading,lychees (fresh),
0810907590,80,Commodity,"annona, fresh",
0811000000,80,Heading,"fruit, edible, including peel and nuts - frozen",
0812000000,80,Heading,"fruit, edible, including peel and nuts - provisionally preserved",
0813000000,80,Heading,gogi berries (dried),
0901000000,80,Heading,coffee beans,
0901000000,80,Heading,"coffee - raw, roasted and filter",
0901000000,80,Heading,coffee - substitutes containing coffee,
0902000000,80,Heading,chai,
0902000000,80,Heading,fruit tea,
0902000000,80,Heading,herbal tea,
0902000000,80,Heading,tea,
0902000000,80,Heading,teabags,
0902000000,80,Heading,tea bags,
0903000000,80,Heading,mate,
0904000000,80,Heading,allspice (dried),
0904000000,80,Heading,pepper,
0904000000,80,Heading,peppercorns,
0904000000,80,Heading,pimento,
0904220000,80,Subheading,"paprika, ground",
0905000000,80,Heading,vanilla,
0906000000,80,Heading,cinnamon,
0907000000,80,Heading,cloves,
0908000000,80,Heading,cardamoms,
0908000000,80,Heading,mace,
0908000000,80,Heading,nutmegs,
0909000000,80,Heading,anise seeds,
0909000000,80,Heading,badian seeds,
0909000000,80,Heading,caraway seeds,
0909000000,80,Heading,coriander seeds,
0909000000,80,Heading,cumin seeds,
0909000000,80,Heading,fennel seeds,
0909000000,80,Heading,juniper seeds,
0909000000,80,Heading,seeds - spice,
0910000000,80,Heading,bay leaves,
0910000000,80,Heading,ginger (spices),
0910000000,80,Heading,saffron,
0910000000,80,Heading,thyme,
0910910500,80,Commodity,curry powder,
1000000000,80,Chapter,cereals - unmilled,
1001000000,80,Heading,meslin,
1001000000,80,Heading,wheat,
1002000000,80,Heading,rye,
1003000000,80,Heading,barley,
1004000000,80,Heading,oats,
1005000000,80,Heading,canary seed,
1005000000,80,Heading,corn,
1005000000,80,Heading,maize (excluding sweetcorn),
1006000000,80,Heading,"rice, broken",
1006000000,80,Heading,rice in the husk,
1006000000,80,Heading,"rice, semi-milled",
1006000000,80,Heading,"rice, wholly-milled",
1007000000,80,Heading,dari,
1007000000,80,Heading,durra,
1007000000,80,Heading,guinea maize,
1007000000,80,Heading,milo,
1007000000,80,Heading,"sorghums, including grain sorghum",
1008000000,80,Heading,buckwheat,
1008000000,80,Heading,millets,
1100000000,80,Chapter,"cereals - milled, flaked, etc",
1101000000,80,Heading,flour - wheat and other cereals - wheat or meslin,
1101000000,80,Heading,wheat,
1102000000,80,Heading,barley,
1102000000,80,Heading,flour - wheat and other cereals - other,
1102000000,80,Heading,rye,
1103000000,80,Heading,barley,
1103000000,80,Heading,groats,
1103000000,80,Heading,meal - cereal,
1103000000,80,Heading,oats,
1103000000,80,Heading,rye,
1103000000,80,Heading,semolina,
1103000000,80,Heading,wheat,
1104000000,80,Heading,barley,
1104000000,80,Heading,oats,
1104000000,80,Heading,rye,
1105000000,80,Heading,flour - potato,
1105000000,80,Heading,meal - potato,
1105000000,80,Heading,"potato flakes, granules, powder",
1105000000,80,Heading,"vegetables, edible - flour, meal and flakes of",
1106000000,80,Heading,flour- arrow root,
1106000000,80,Heading,"flour - fruit, edible",
1106000000,80,Heading,flour - leguminous vegetable,
1106000000,80,Heading,flour manioc,
1106000000,80,Heading,flour - sago,
1106000000,80,Heading,flour - salep,
1106000000,80,Heading,"fruit, edible, including peel and nuts - flours of",
1106000000,80,Heading,manioc flour and meal,
1106000000,80,Heading,meal - arrowroot,
1106000000,80,Heading,meal - manioc,
1106000000,80,Heading,meal - sago,
1106000000,80,Heading,meal - salep,
1106000000,80,Heading,sago - flour and meal,
1106000000,80,Heading,salep flour and meal,
1106000000,80,Heading,"vegetables, edible - flour, meal and flakes of",
1107000000,80,Heading,flour - malt,
1107000000,80,Heading,malt,
1108000000,80,Heading,inulin,
1108000000,80,Heading,sago - starch,
1108000000,80,Heading,starches,
1109000000,80,Heading,flour- gluten,
1109000000,80,Heading,gluten (wheat),
1109000000,80,Heading,wheat gluten,
1201000000,80,Heading,beans - soya,
1201000000,80,Heading,hops,
1201000000,80,Heading,soya beans,
1202000000,80,Heading,groundnuts,
1203000000,80,Heading,copra,
1204000000,80,Heading,flax - seed,
1204000000,80,Heading,linseed,
1205000000,80,Heading,rape seed,
1206000000,80,Heading,sunflower seed,
1207000000,80,Heading,castor seeds,
1207000000,80,Heading,cotton seeds,
1207000000,80,Heading,illipe nuts,
1207000000,80,Heading,mustard - seed,
1207000000,80,Heading,palm nuts and kernels,
1207000000,80,Heading,poppy seed,
1207000000,80,Heading,sesamum seed,
1207000000,80,Heading,tung nuts,
1208000000,80,Heading,flour - of the seeds and oleaginous fruit non-defatted (excluding mustard flour),
1208000000,80,Heading,"meal - of oil seeds and oleaginous fruit, non defatted (excluding mustard flour)",
1208000000,80,Heading,soya bean flour (non defatted),
1209000000,80,Heading,alfalfa (lucerne) seed,
1209000000,80,Heading,alsike seed,
1209000000,80,Heading,beet seeds,
1209000000,80,Heading,clover seed and seed of clover like plant,
1209000000,80,Heading,flower seed,
1209000000,80,Heading,forest tree seeds,
1209000000,80,Heading,grass seed,
1209000000,80,Heading,kohlrabi seeds,
1209000000,80,Heading,lucerne seed,
1209000000,80,Heading,rye grass seed,
1209000000,80,Heading,"seeds - vegetable, other than leguminous",
1209000000,80,Heading,trefoil seed,
1209300000,80,Commodity,wildflower seed sticks,
1210000000,80,Heading,lupulin,
1211000000,80,Heading,angostura bark,
1211000000,80,Heading,"bark, cinchona",
1211000000,80,Heading,"bark, for use in perfumery, pharmacy, insecticide, etc",
1211000000,80,Heading,cinchona bark,
1211000000,80,Heading,ginseng roots,
1211000000,80,Heading,ipecacuanha root,
1211000000,80,Heading,liquorice - root,
1211000000,80,Heading,pyrethrum,
1211000000,80,Heading,"roots for use in perfumery, pharmacy, insecticides, etc",
1211000000,80,Heading,tonquin (tonka) beans,
1211908690,80,Commodity,guarana powder,
1212000000,80,Heading,apricot kernels,
1212000000,80,Heading,"beans - locust, whole, kibbled or ground",
1212000000,80,Heading,kelp raw,
1212000000,80,Heading,"kernels, fruit",
1212000000,80,Heading,"locust beans, whole, or ground",
1212000000,80,Heading,peach kernels,
1212000000,80,Heading,"seaweed, raw",
1212000000,80,Heading,sugar beet and sugar cane,
1212000000,80,Heading,tonquin (tonka) beans,
1213000000,80,Heading,cereal husks,
1213000000,80,Heading,cereal straws,
1213000000,80,Heading,"husks, cereal",
1213000000,80,Heading,straw - cereal,
1214000000,80,Heading,clover,
1214000000,80,Heading,"forage kale, roots and similar products",
1214000000,80,Heading,hay,
1214000000,80,Heading,"kale, forage",
1214000000,80,Heading,lucerne meal,
1214000000,80,Heading,lupines,
1214000000,80,Heading,swedes,
1214000000,80,Heading,vetches,
1301000000,80,Heading,"arabic, gum",
1301000000,80,Heading,balsams,
1301000000,80,Heading,copal,
1301000000,80,Heading,gum-resins (natural),
1301000000,80,Heading,incense raw,
1301000000,80,Heading,myrrh,
1301000000,80,Heading,natural resins,
1301000000,80,Heading,oleoresin,
1301000000,80,Heading,"resins, natural",
1301000000,80,Heading,shellac,
1301000000,80,Heading,"storax, crude",
1301000000,80,Heading,"tragacanth, gum",
1302000000,80,Heading,agar-agar,
1302000000,80,Heading,carrageenan,
1302000000,80,Heading,cassia pulp,
1302000000,80,Heading,cola (kola) extract,
1302000000,80,Heading,extracts - hop,
1302000000,80,Heading,extracts - liquorice,
1302000000,80,Heading,extracts - pyrethrum,
1302000000,80,Heading,guar seed flour and gum,
1302000000,80,Heading,hop extract,
1302000000,80,Heading,liquorice extract,
1302000000,80,Heading,locust bean flour and gum,
1302000000,80,Heading,"mucilages, natural",
1302000000,80,Heading,"opium, crude",
1302000000,80,Heading,"pectin substances, pectinates and pectates",
1302000000,80,Heading,pyrethrum,
1302000000,80,Heading,vegetable materials - saps and extracts,
1401000000,80,Heading,bamboo canes,
1401000000,80,Heading,"canes, bamboo, rattan and tsinglee, garden",
1401000000,80,Heading,osier (willow twigs),
1401000000,80,Heading,plaiting (vegetables) materials,
1401000000,80,Heading,raffia,
1401000000,80,Heading,rattan canes,
1401000000,80,Heading,reeds (plaiting material),
1401000000,80,Heading,rushes (plaiting material),
1401000000,80,Heading,"straw - cleaned, bleached or dyed",
1401000000,80,Heading,tsinglee garden canes,
1401000000,80,Heading,vegetable materials - for plaiting,
1401000000,80,Heading,"willow, for basket making",
1404000000,80,Heading,albardin grass,
1404000000,80,Heading,broomcorn tops,
1404000000,80,Heading,coconut shells,
1404000000,80,Heading,corozo nuts,
1404000000,80,Heading,couch-grass,
1404000000,80,Heading,dom palm seeds,
1404000000,80,Heading,dye raw vegetable material for,
1404000000,80,Heading,gall nuts,
1404000000,80,Heading,gomuti (gumati) fibre,
1404000000,80,Heading,henna,
1404000000,80,Heading,linters,
1404000000,80,Heading,loofahs,
1404000000,80,Heading,myrobalans,
1404000000,80,Heading,piassava,
1404000000,80,Heading,quillaia bark,
1404000000,80,Heading,seeds - for carving,
1404000000,80,Heading,"tanning, raw vegetables material for",
1404000000,80,Heading,"vegetable materials - for carving, unworked",
1404000000,80,Heading,vegetable materials - for dyeing or tanning,
1404000000,80,Heading,vine tie grass,
1500000000,80,Chapter,"oil - animal or vegetable, fish or marine mammal",
1500000000,80,Chapter,vegetable oils,
1501000000,80,Heading,"fat - pig and poultry, rendered or solvent extracted",
1501000000,80,Heading,lard,
1501000000,80,Heading,"pig fat, rendered or solvent extract",
1501000000,80,Heading,"poultry fat, rendered or solvent extracted",
1502000000,80,Heading,premier jus,
1502000000,80,Heading,tallow,
1503000000,80,Heading,lard oil,
1503000000,80,Heading,oleo oil,
1503000000,80,Heading,oleostearin,
1503000000,80,Heading,stearin(e),
1503000000,80,Heading,tallow oil,
1504000000,80,Heading,"cod liver oil, in bulk",
1504000000,80,Heading,herring - oil,
1504000000,80,Heading,sperm oil,
1504000000,80,Heading,whale oil,
1505000000,80,Heading,"grease, wool",
1505000000,80,Heading,lanolin,
1505000000,80,Heading,wool grease,
1506000000,80,Heading,neatsfoot oil,
1507000000,80,Heading,oiticica oil,
1507000000,80,Heading,soya bean oil,
1508000000,80,Heading,groundnut oil,
1509000000,80,Heading,cooking oil (olive),
1509000000,80,Heading,lampante olive oil,
1509000000,80,Heading,olive oil,
1511000000,80,Heading,palm kernel oil,
1511000000,80,Heading,palm oil,
1512000000,80,Heading,cotton seed oil,
1512000000,80,Heading,sunflower seed oil,
1512119100,80,Commodity,cooking oil (sunflower),
1512119100,80,Commodity,sunflower oil,
1513000000,80,Heading,coconut (copra) oil,
1514000000,80,Heading,mustard - fixed oil,
1514000000,80,Heading,rape oil (including colza oil),
1515000000,80,Heading,"caster oil, other",
1515000000,80,Heading,corn oil,
1515000000,80,Heading,linseed oil,
1515000000,80,Heading,maize oil,
1515000000,80,Heading,sesamum oil,
1515000000,80,Heading,tobacco seed oil,
1515000000,80,Heading,tung oil,
1515906000,80,Subheading,cooking oil (vegetable),
1515906000,80,Subheading,vegetable oil,
1515909100,80,Commodity,cbd oil,
1515909100,80,Commodity,hemp oil,
1516000000,80,Heading,"castor oil, hydrogenated",
1516000000,80,Heading,neatsfoot oil,
1516000000,80,Heading,palm kernel oil,
1516000000,80,Heading,palm oil,
1516000000,80,Heading,soya bean oil,
1516000000,80,Heading,stillingia oil,
1516000000,80,Heading,sunflower seed oil,
1516000000,80,Heading,whale oil,
1517000000,80,Heading,"fats, edible, prepared",
1517000000,80,Heading,"lard, imitation",
1517000000,80,Heading,margarine,
1518000000,80,Heading,colza oil,
1518000000,80,Heading,mustard - fixed oil,
1518000000,80,Heading,neatsfoot oil,
1518000000,80,Heading,palm kernel oil,
1518000000,80,Heading,palm oil,
1518000000,80,Heading,rape oil,
1518000000,80,Heading,sesamum oil,
1518000000,80,Heading,soya bean oil,
1518000000,80,Heading,stillingia oil,
1518000000,80,Heading,sunflower seed oil,
1518000000,80,Heading,whale oil,
1520000000,80,Heading,glycerol and glycerol lyres,
1521000000,80,Heading,beeswax,
1521000000,80,Heading,candelila wax,
1521000000,80,Heading,carnauba wax,
1521000000,80,Heading,esparto wax,
1521000000,80,Heading,ouricury wax,
1521000000,80,Heading,spermaceti,
1521000000,80,Heading,vegetable waxes,
1521000000,80,Heading,waxes - insect,
1521000000,80,Heading,waxes - vegetable,
1522000000,80,Heading,degras,
1522000000,80,Heading,dregs - oil,
1522000000,80,Heading,oil foots and dregs,
1522000000,80,Heading,"residues, fatty",
1522000000,80,Heading,soap stocks,
1601000000,80,Heading,chorizos,
1601000000,80,Heading,kabanos,
1601000000,80,Heading,sausages,
1602000000,80,Heading,meat pastes,
1602000000,80,Heading,meat pies,
1602310000,80,Subheading,"pastes, poultry",
1602310000,80,Subheading,"patés, poultry",
1602410000,80,Subheading,"bacon, canned, prepared or preserved",
1602410000,80,Subheading,"bacon, prepared or preserved",
1602410000,80,Subheading,"ham and hams, prepared or reserved",
1602410000,80,Subheading,"pig products, canned, prepared or otherwise prepared",
1602410000,80,Subheading,"pork, canned, prepared or otherwise preserved",
1602500000,80,Subheading,beef - prepared or preserved,
1602500000,80,Subheading,"beef - tongues, canned, prepared or otherwise preserved",
1602500000,80,Subheading,"veal, canned, prepared or otherwise preserved (including jellied veal)",
1602909100,80,Commodity,"lamb (meat) - canned, prepared or otherwise preserved",
1602909100,80,Commodity,"mutton, canned, or prepared or otherwise preserved",
1602909100,80,Commodity,"mutton, corned",
1603000000,80,Heading,extracts - meat,
1603000000,80,Heading,meat - extracts and juices,
1603000000,80,Heading,whalemeat extract,
