Key,Description,Description alternative,Parent,Sibling count
7215900000_80,Other,"Other bars and rods of iron or non-alloy steel (excluding of free-cutting steel, not further worked than cold-formed or cold-finished / other, not further worked than cold-formed or cold-finished)",Other bars and rods of iron or non-alloy steel,2
7216910000_10,Other,"Angles, shapes and sections of iron or non-alloy steel (excluding u, I or H sections, not further worked than hot-rolled, hot-drawn or extruded, of a height of less than 80 mm / l or T sections, not further worked than hot-rolled, hot-drawn or extruded, of a height of less than 80 mm / u, I or H sections, not further worked than hot-rolled, hot-drawn or extruded, of a height of 80 mm or more / l or T sections, not further worked than hot-rolled, hot-drawn or extruded, of a height of 80 mm or more / other angles, shapes and sections, not further worked than hot-rolled, hot-drawn or extruded / angles, shapes and sections, not further worked than cold-formed or cold-finished)","Angles, shapes and sections of iron or non-alloy steel",6
7217900000_80,Other,"Wire of iron or non-alloy steel (excluding not plated or coated, whether or not polished / plated or coated with zinc / plated or coated with other base metals)",Wire of iron or non-alloy steel,3
7219900000_80,Other,"Flat-rolled products of stainless steel, of a width of 600 mm or more (excluding not further worked than hot-rolled, in coils / not further worked than hot-rolled, not in coils / not further worked than cold-rolled)","Flat-rolled products of stainless steel, of a width of 600 mm or more",3
7220900000_80,Other,"Flat-rolled products of stainless steel, of a width of less than 600 mm (excluding not further worked than hot-rolled / not further worked than cold-rolled)","Flat-rolled products of stainless steel, of a width of less than 600 mm",2
7222409000_80,Other,"Angles, shapes and sections (excluding not further worked than hot-rolled, hot-drawn or extruded / not further worked than cold-formed or cold-finished)","Angles, shapes and sections",2
7224900700_80,Other,"The width measuring less than twice the thickness (excluding of high-speed steel / containing by weight not more than 0,7 % of carbon, 0,5 % or more but not more than 1,2 % of manganese and 0,6 % or more but not more than 2,3 % of silicon; containing by weight 0,0008 % or more of boron with any other element less than the minimum content referred to in note 1 to this chapter)",The width measuring less than twice the thickness,2
7225309000_80,Other,"Other, not further worked than hot-rolled, in coils (excluding of tool steel / of high-speed steel)","Other, not further worked than hot-rolled, in coils",2
7225404000_10,Other,"Other, not further worked than hot-rolled, not in coils (excluding of tool steel / of high-speed steel)","Other, not further worked than hot-rolled, not in coils",2
7225910000_10,Other,"Flat-rolled products of other alloy steel, of a width of 600 mm or more (excluding of silicon-electrical steel / other, not further worked than hot-rolled, in coils / other, not further worked than hot-rolled, not in coils / other, not further worked than cold-rolled)","Flat-rolled products of other alloy steel, of a width of 600 mm or more",4
7225920080_80,Other,"Otherwise plated or coated with zinc (excluding aluminium killed; plated or coated by hot dip galvanisation with zinc and/or with aluminium, and no other metal; chemically passivated; containing by weight: 0.015% or more but not more than 0.170% of carbon, 0.015% or more but not more than 0.100% of aluminium, not more than 0.045% of niobium, not more than 0.010% of titanium and not more than 0.010% of vanadium; presented in coils, cut-to-length sheets and narrow strips / plated or coated by hot dip galvanisation, whether or not alloyed with silicon; chemically passivated; with or without any additional surface treatment such as oiling or sealing; containing by weight: not more than 0,5% of carbon, not more than 1,1% of aluminium, not more than 0,12% of niobium, not more than 0,17% of titanium and not more than 0,15% of vanadium; presented in coils, cut-to-length sheets and narrow strips)",Otherwise plated or coated with zinc,2
