Key,Description,Description alternative,Parent,Sibling count
0101900000_80,Other,"Live horses, asses, mules and hinnies (excluding horses / asses)","Live horses, asses, mules and hinnies",2
0102219000_80,Other,Pure-bred breeding animals (excluding heifers / cows),Pure-bred breeding animals,2
0102291090_80,Other,"Of a weight not exceeding 80 kg (excluding young male bovine animals, intended for fattening / heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed, other than for slaughter / heifers of the Schwyz and Fribourg breeds, other than for slaughter / heifers of the spotted Simmental breed, other than for slaughter / bulls of the Schwyz, Fribourg and spotted Simmental breeds, other than for slaughter)",Of a weight not exceeding 80 kg,5
0102292990_80,Other,"Other than for slaughter (excluding young male bovine animals, intended for fattening / heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed / heifers of the Schwyz and Fribourg breeds / heifers of the spotted Simmental breed / bulls of the Schwyz, Fribourg and spotted Simmental breeds)",Other than for slaughter,5
0102294990_80,Other,"Other than for slaughter (excluding young male bovine animals, intended for fattening / heifers and cows of the grey, brown or yellow mountain breeds and spotted Pinzgau breed / heifers and cows of the Schwyz and Fribourg breeds / heifers and cows of the spotted Simmental breed / bulls of the Schwyz, Fribourg and spotted Simmental breeds)",Other than for slaughter,5
0102295991_10,Other,"Other than for slaughter (excluding heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed / of the Schwyz and Fribourg breeds / of the spotted Simmental breed)",Other than for slaughter,3
0102296990_80,Other,"Other than for slaughter (excluding heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed / of the Schwyz and Fribourg breeds / of the spotted Simmental breed)",Other than for slaughter,3
0102299100_10,Other,Of a weight exceeding 300 kg (excluding heifers / cows),Of a weight exceeding 300 kg,2
0102900000_80,Other,Live bovine animals (excluding cattle / buffalo),Live bovine animals,2
0106190000_80,Other,"Mammals (excluding primates / whales, dolphins and porpoises ; manatees and dugongs ; seals, sea lions and walruses / camels and other camelids / rabbits and hares)",Mammals,4
0106390000_80,Other,Birds (excluding birds of prey / psittaciformes / ostriches; emus),Birds,3
0106900000_80,Other,Other live animals (excluding mammals / reptiles / birds / insects),Other live animals,4
0201209000_80,Other,Other cuts with bone in (excluding 'Compensated' quarters / unseparated or separated forequarters / unseparated or separated hindquarters),Other cuts with bone in,3
0202203085_10,Other,"Intended for processing (excluding for the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meatwith meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part / for the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61)",Intended for processing,2
0202209000_80,Other,Other cuts with bone in (excluding 'Compensated' quarters / unseparated or separated forequarters / unseparated or separated hindquarters),Other cuts with bone in,3
0202301085_10,Other,"Intended for processing (excluding for the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meatwith meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part / for the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61)",Intended for processing,2
0202305085_10,Other,"Intended for processing (excluding for the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meatwith meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part / for the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61)",Intended for processing,2
0202309000_80,Other,"Boneless (excluding forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block; 'compensated' quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excluding the tenderloin, in one piece / crop, chuck-and-blade and brisket cuts)",Boneless,2
0202309045_10,Other,"Intended for processing (excluding for the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meatwith meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part / for the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61)",Intended for processing,2
0202309080_80,Other,"Intended for processing (excluding for the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meatwith meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part / for the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61)",Intended for processing,2
0203190000_80,Other,"Fresh or chilled (excluding carcases and half-carcases / hams, shoulders and cuts thereof, with bone in)",Fresh or chilled,2
0203195500_10,Other,"Of domestic swine (excluding fore-ends and cuts thereof / loins and cuts thereof, with bone in / belliesand cuts thereof)",Of domestic swine,3
0203195590_80,Other,"Boneless (excluding tenderloin, presented separately / loins and cuts thereof, excluding tenderloin presented separately / ham and cuts of ham)",Boneless,3
0203290000_80,Other,"Frozen (excluding carcases and half-carcases / hams, shoulders and cuts thereof, with bone in)",Frozen,2
0203295500_10,Other,"Of domestic swine (excluding fore-ends and cuts thereof / loins and cuts thereof, with bone in / belliesand cuts thereof)",Of domestic swine,3
0203295599_80,Other,"Other than loins and cuts thereof, excluding tenderloin presented separately (excluding tenderloin, presented separately / ham and cuts of ham)","Other than loins and cuts thereof, excluding tenderloin presented separately",2
0204229000_80,Other,Other cuts with bone in (excluding short forequarters / chines and/or best ends / legs),Other cuts with bone in,3
0204429000_80,Other,Other cuts with bone in (excluding short forequarters / chines and/or best ends / legs),Other cuts with bone in,3
0204503100_10,Other,Fresh or chilled (excluding carcases and half-carcases / short forequarters / chines and/or best ends / legs),Fresh or chilled,4
0204507100_10,Other,Frozen (excluding carcases and half-carcases / short forequarters / chines and/or best ends / legs),Frozen,4
0206290000_80,Other,"Of bovine animals, frozen (excluding tongues / livers)","Of bovine animals, frozen",2
0206299141_10,Other,"Intended for processing (excluding for the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meatwith meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part / for the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61)",Intended for processing,2
0206299171_10,Other,"Intended for processing (excluding for the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meatwith meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part / for the manufacture of other products than products falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61)",Intended for processing,2
0207137000_80,Other,"With bone in (excluding halves or quarters / whole wings, with or without tips / backs, necks, backs with necks attached, rumps and wing-tips / breasts and cuts thereof / legs and cuts thereof)",With bone in,5
0207147000_80,Other,"With bone in (excluding halves or quarters / whole wings, with or without tips / backs, necks, backs with necks attached, rumps and wing-tips / breasts and cuts thereof / legs and cuts thereof)",With bone in,5
0207268000_80,Other,"With bone in (excluding halves or quarters / whole wings, with or without tips / backs, necks, backs with necks attached, rumps and wing-tips / breasts and cuts thereof / legs and cuts thereof)",With bone in,5
0207278000_80,Other,"With bone in (excluding halves or quarters / whole wings, with or without tips / backs, necks, backs with necks attached, rumps and wing-tips / breasts and cuts thereof / legs and cuts thereof)",With bone in,5
0207448100_80,Other,"With bone in (excluding halves or quarters / whole wings, with or without tips / backs, necks, backs with necks attached, rumps and wing-tips / breasts and cuts thereof / legs and cuts thereof / paletots)",With bone in,6
0207458100_80,Other,"With bone in (excluding halves or quarters / whole wings, with or without tips / backs, necks, backs with necks attached, rumps and wing-tips / breasts and cuts thereof / legs and cuts thereof / paletots)",With bone in,6
0207548100_80,Other,"With bone in (excluding halves or quarters / whole wings, with or without tips / backs, necks, backs with necks attached, rumps and wing-tips / breasts and cuts thereof / legs and cuts thereof / paletots)",With bone in,6
0207558100_80,Other,"With bone in (excluding halves or quarters / whole wings, with or without tips / backs, necks, backs with necks attached, rumps and wing-tips / breasts and cuts thereof / legs and cuts thereof / paletots)",With bone in,6
0207608100_80,Other,"With bone in (excluding halves or quarters / whole wings, with or without tips / backs, necks, backs with necks attached, rumps and wing-tips / breasts and cuts thereof / legs and cuts thereof)",With bone in,5
0208408000_80,Other,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia) (excluding whale meat / seal meat)","Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)",2
0208900000_80,Other,"Other meat and edible meat offal, fresh, chilled or frozen (excluding of rabbits or hares / of primates / of whales, dolphins and porpoises ; of manatees and dugongs ; of seals, sea lions and walruses / of reptiles / of camels and other camelids)","Other meat and edible meat offal, fresh, chilled or frozen",5
0208909800_80,Other,"Other meat and edible meat offal, fresh, chilled or frozen (excluding of rabbits or hares / of primates / of whales, dolphins and porpoises ; of manatees and dugongs ; of seals, sea lions and walruses / of reptiles / of camels and other camelids) (excluding of domestic pigeons / of game, other than of rabbits or hares / of reindeer / frogs' legs)","Other meat and edible meat offal, fresh, chilled or frozen (excluding of rabbits or hares / of primates / of whales, dolphins and porpoises ; of manatees and dugongs ; of seals, sea lions and walruses / of reptiles / of camels and other camelids)",4
0210190000_80,Other,"Meat of swine (excluding hams, shoulders and cuts thereof, with bone in / belliesand cuts thereof)",Meat of swine,2
0210195000_80,Other,Salted or in brine (excluding bacon sides or spencers / three-quarter sides or middles / fore-ends and cuts thereof / loins and cuts thereof),Salted or in brine,4
0210198100_10,Other,Dried or smoked (excluding fore-ends and cuts thereof / loins and cuts thereof),Dried or smoked,2
0210198190_80,Other,"Boneless (excluding chop, smoked / pork neck, dried in air, seasoned or not, whole, in pieces or thinly sliced)",Boneless,2
0210990000_80,Other,"Other, including edible flours and meals of meat or meat offal (excluding of primates / of whales, dolphins and porpoises ; of manatees and dugongs ; of seals, sea lions and walruses / of reptiles)","Other, including edible flours and meals of meat or meat offal",3
0210993900_80,Other,"Meat (excluding of horses, salted, in brine or dried / of sheep and goats / of reindeer)",Meat,3
0210997100_10,Other,Offal (excluding of domestic swine / of bovine animals),Offal,2
0301990000_80,Other,Other live fish (excluding trout / eels / carp / atlantic and Pacific bluefin tuna / southern bluefin tuna),Other live fish,5
0301998590_80,Other,Other than freshwater fish (excluding sharks / european sea bass / porbeagle shark / lesser or Greenland halibut / atlantic halibut / gilt-head sea bream / swordfish / bigeye tuna / sea bream),Other than freshwater fish,9
0302118000_80,Other,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster) (excluding of the species Oncorhynchus apache or Oncorhynchus chrysogaster / of the species Oncorhynchus mykiss, with heads and gills on, gutted, weighing more than 1,2 kg each, or with heads off, gilled and gutted, weighing more than 1 kg each)","Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",2
0302190000_80,Other,"Salmonidae, excluding edible fish offal of subheadings 0302 91 to 0302 99 (excluding trout / pacific salmon / atlantic salmonand Danube salmon)","Salmonidae, excluding edible fish offal of subheadings 0302 91 to 0302 99",3
0302290000_80,Other,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 0302 91 to 0302 99 (excluding halibut / plaice / sole / turbots)","Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 0302 91 to 0302 99",4
0302390000_80,Other, (excluding albacore or longfinned tuna / yellowfin tuna / skipjack tuna / bigeye tuna / atlantic and Pacific bluefin tuna / southern bluefin tuna),,6
0302459000_80,Other,Jack and horse mackerel (Trachurus spp.) (excluding atlantic horse mackerel / chilean jack mackerel),Jack and horse mackerel (Trachurus spp.),2
0302490000_80,Other,"Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding edible fish offal of subheadings 0302 91 to 0302 99 (excluding herrings / anchovies / sardines , sardinella , brisling or sprats / mackerel / jack and horse mackerel / cobia / swordfish)","Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding edible fish offal of subheadings 0302 91 to 0302 99",7
0302541900_80,Other,Hake of the genus Merluccius (excluding cape hake and deepwater hake / southern hake),Hake of the genus Merluccius,2
0302541990_80,Other,Hake of the genus Merluccius (excluding cape hake and deepwater hake / southern hake) (excluding silver hake / hake of the species Merluccius merluccius),Hake of the genus Merluccius (excluding cape hake and deepwater hake / southern hake),2
0302590000_80,Other,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 0302 91 to 0302 99 (excluding cod / haddock / coalfish / hake / alaska Pollock / blue whiting)","Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 0302 91 to 0302 99",6
0302599000_80,Other,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 0302 91 to 0302 99 (excluding cod / haddock / coalfish / hake / alaska Pollock / blue whiting) (excluding polar cod / whiting / pollack / ling)","Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 0302 91 to 0302 99 (excluding cod / haddock / coalfish / hake / alaska Pollock / blue whiting)",4
0302790000_80,Other,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding edible fish offal of subheadings 0302 91 to 0302 99 (excluding tilapias / catfish / carp / eels)","Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding edible fish offal of subheadings 0302 91 to 0302 99",4
0302818000_80,Other,Dogfish and other sharks (excluding piked dogfishand catsharks / porbeagle shark / blue shark),Dogfish and other sharks,3
0302859000_80,Other,Sea bream (Sparidae) (excluding of the species Dentex dentex or Pagellus spp. / gilt-head sea bream),Sea bream (Sparidae),2
0302890000_80,Other,"Other fish, excluding edible fish offal of subheadings 0302 91 to 0302 99 (excluding dogfish and other sharks / rays and skates / toothfish / sea bass / sea bream)","Other fish, excluding edible fish offal of subheadings 0302 91 to 0302 99",5
0302899000_80,Other,"Other than freshwater fish (excluding fish of the genus Euthynnus, other than Kawakawacovered by subheading 0302 49 / redfish / ray's bream / monkfish / pink cusk-eel)",Other than freshwater fish,5
0302899090_80,Other,"Other than freshwater fish (excluding fish of the genus Euthynnus, other than Kawakawacovered by subheading 0302 49 / redfish / ray's bream / monkfish / pink cusk-eel) (excluding red snapper , for processing / fish of the species Kathetostoma giganteum / bogue)","Other than freshwater fish (excluding fish of the genus Euthynnus, other than Kawakawacovered by subheading 0302 49 / redfish / ray's bream / monkfish / pink cusk-eel)",3
0302910095_10,Other,"Livers, roes and milt (excluding of herring / of salmon / of pike / of Atlantic bigeye tuna)","Livers, roes and milt",4
0302920090_80,Other,Shark fins (excluding of dogfish of the species Squalus acanthias / of dogfish of the species Scyliorhinus spp.),Shark fins,2
0302990000_80,Other,"Livers, roes, milt, fish fins, heads, tails, maws and other edible fish offal (excluding livers, roes and milt / shark fins)","Livers, roes, milt, fish fins, heads, tails, maws and other edible fish offal",2
0302990090_80,Other,"Livers, roes, milt, fish fins, heads, tails, maws and other edible fish offal (excluding livers, roes and milt / shark fins) (excluding trout / mackerel / pacific salmon / atlantic salmonand Danube salmon / other salmonidae / redfish / herrings / hake / coalfish / flat fish / cod / haddock)","Livers, roes, milt, fish fins, heads, tails, maws and other edible fish offal (excluding livers, roes and milt / shark fins)",12
0303149000_80,Other,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster) (excluding of the species Oncorhynchus apache or Oncorhynchus chrysogaster / of the species Oncorhynchus mykiss, with heads and gills on, gutted, weighing more than 1,2 kg each, or with heads off, gilled and gutted, weighing more than 1 kg each)","Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",2
0303190000_80,Other,"Salmonidae, excluding edible fish offal of subheadings 0303 91 to 0303 99 (excluding sockeye salmon / other Pacific salmon / atlantic salmonand Danube salmon / trout)","Salmonidae, excluding edible fish offal of subheadings 0303 91 to 0303 99",4
0303290000_80,Other,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding edible fish offal of subheadings 0303 91 to 0303 99 (excluding tilapias / catfish / carp / eels)","Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding edible fish offal of subheadings 0303 91 to 0303 99",4
0303390000_80,Other,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 0303 91 to 0303 99 (excluding halibut / plaice / sole / turbots)","Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 0303 91 to 0303 99",4
0303398500_80,Other,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 0303 91 to 0303 99 (excluding halibut / plaice / sole / turbots) (excluding flounder / fish of the genus Rhombosolea / fish of the species Pelotreis flavilatus or Peltorhamphus novaezelandiae)","Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 0303 91 to 0303 99 (excluding halibut / plaice / sole / turbots)",3
0303398590_80,Other,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 0303 91 to 0303 99 (excluding halibut / plaice / sole / turbots) (excluding flounder / fish of the genus Rhombosolea / fish of the species Pelotreis flavilatus or Peltorhamphus novaezelandiae) (excluding megrim / flatfish , for processing)","Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 0303 91 to 0303 99 (excluding halibut / plaice / sole / turbots) (excluding flounder / fish of the genus Rhombosolea / fish of the species Pelotreis flavilatus or Peltorhamphus novaezelandiae)",2
0303490000_80,Other,"Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding edible fish offal of subheadings 0303 91 to 0303 99 (excluding albacore or longfinned tuna / yellowfin tuna / skipjack tuna / bigeye tuna / atlantic and Pacific bluefin tuna / southern bluefin tuna)","Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding edible fish offal of subheadings 0303 91 to 0303 99",6
0303510090_80,Other,"Herrings (Clupea harengus, Clupea pallasii) (excluding of a weight exceeding 100 g per piece, for processing / other, for industrial manufacture)","Herrings (Clupea harengus, Clupea pallasii)",2
0303559000_80,Other,Jack and horse mackerel (Trachurus spp.) (excluding atlantic horse mackerel / chilean jack mackerel),Jack and horse mackerel (Trachurus spp.),2
0303590000_80,Other,"Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding edible fish offal of subheadings 0303 91 to 0303 99 (excluding herrings / sardines , sardinella , brisling or sprats / mackerel / jack and horse mackerel / cobia / swordfish)","Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding edible fish offal of subheadings 0303 91 to 0303 99",6
0303599000_80,Other,"Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding edible fish offal of subheadings 0303 91 to 0303 99 (excluding herrings / sardines , sardinella , brisling or sprats / mackerel / jack and horse mackerel / cobia / swordfish) (excluding anchovies / kawakawa)","Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding edible fish offal of subheadings 0303 91 to 0303 99 (excluding herrings / sardines , sardinella , brisling or sprats / mackerel / jack and horse mackerel / cobia / swordfish)",2
0303661900_80,Other,Hake of the genus Merluccius (excluding cape hake and deepwater hake / argentine hake / southern hake),Hake of the genus Merluccius,3
0303690000_80,Other,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 0303 91 to 0303 99 (excluding cod / haddock / coalfish / hake / alaska Pollock / blue whiting)","Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 0303 91 to 0303 99",6
